date,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,7;ferie,7;ferie,7;ferie,7;ferie,7;ferie,7;ferie,7;ferie,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5
periode,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ta,ta,ta,ta,ta,ta,ta,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs
ROUEN Gare Routière,|,07:25,07:45,07:55,08:10,08:30,09:00,09:25,10:30,11:30,12:05,12:30,13:30,14:30,15:25,15:45,16:00,16:20,16:40,16:50,17:05,17:20,17:35,17:50,18:05,18:20,18:35,18:50,19:05,19:30,20:00,|,07:25,08:10,08:30,09:25,10:00,10:30,11:30,12:30,13:00,13:30,14:30,15:45,16:05,16:25,16:50,17:05,17:20,17:35,18:05,18:35,19:05,19:30,20:00,|,07:25,08:30,09:25,10:30,11:30,12:30,13:30,14:00,14:30,15:10,15:45,16:05,16:50,17:05,17:35,18:05,18:35,19:10,19:30,20:00,|,07:25,08:10,08:30,09:25,10:00,10:30,11:30,12:30,13:00,13:30,14:30,15:45,16:05,16:50,17:10,17:35,18:05,18:35,19:10,19:30,20:00,10:00,11:15,13:25,14:00,16:00,18:00,19:50,|,07:25,08:10,08:30,09:25,10:00,10:30,11:30,12:30,13:00,13:30,14:30,15:45,16:05,16:25,16:50,17:10,17:20,17:35,18:05,18:35,19:10,19:30,20:00
ROUEN Mont-Riboudet,|,07:33,07:56,08:06,08:21,08:38,09:08,09:33,10:38,11:40,12:15,12:38,13:38,14:38,15:33,15:53,16:11,16:31,16:51,17:01,17:16,17:31,17:46,18:01,18:15,18:30,18:45,19:00,19:13,19:38,20:08,|,07:33,08:18,08:38,09:33,10:08,10:38,11:38,12:38,13:08,13:38,14:38,15:53,16:15,16:35,17:00,17:15,17:30,17:45,18:15,18:45,19:13,19:38,20:08,|,07:33,08:38,09:33,10:38,11:38,12:38,13:38,14:08,14:38,15:18,15:53,16:13,16:58,17:13,17:43,18:13,18:43,19:18,19:38,20:08,|,07:33,08:18,08:38,09:33,10:08,10:38,11:38,12:38,13:08,13:38,14:38,15:53,16:13,16:58,17:18,17:43,18:13,18:43,19:18,19:38,20:08,10:08,11:23,13:33,14:08,16:08,18:08,19:58,|,07:33,08:18,08:38,09:33,10:08,10:38,11:38,12:38,13:08,13:38,14:38,15:53,16:15,16:35,17:00,17:20,17:30,17:45,18:15,18:45,19:18,19:38,20:08
CANTELEU Lycée Hatelier - IDS,|,07:40,08:03,08:13,08:28,08:45,09:15,09:40,10:45,11:47,12:22,12:45,13:45,14:45,15:40,16:00,16:19,16:39,16:59,17:09,17:24,17:39,17:54,18:09,18:23,18:38,18:53,19:07,19:20,19:45,20:15,|,07:40,08:25,08:45,09:40,10:15,10:45,11:45,12:45,13:15,13:45,14:45,16:00,16:22,16:42,17:07,17:22,17:37,17:52,18:22,18:52,19:20,19:45,20:15,|,07:40,08:45,09:40,10:45,11:45,12:45,13:45,14:15,14:45,15:25,16:00,16:20,17:05,17:20,17:50,18:20,18:50,19:25,19:45,20:15,|,07:40,08:25,08:45,09:40,10:15,10:45,11:45,12:45,13:15,13:45,14:45,16:00,16:20,17:05,17:25,17:50,18:20,18:50,19:25,19:45,20:15,10:15,11:30,13:40,14:15,16:15,18:15,20:05,|,07:40,08:25,08:45,09:40,10:15,10:45,11:45,12:45,13:15,13:45,14:45,16:00,16:22,16:42,17:07,17:27,17:37,17:52,18:22,18:52,19:25,19:45,20:15
ST-MARTIN-DE-BOSCHERVILLE Centre,|,07:46,08:09,08:19,08:34,08:51,09:21,09:46,10:51,11:53,12:28,12:51,13:51,14:51,15:46,16:06,16:25,16:45,17:05,17:15,17:30,17:45,18:00,18:15,18:29,18:44,18:59,19:13,19:26,19:51,20:21,|,07:46,08:31,08:51,09:46,10:21,10:51,11:51,12:51,13:21,13:51,14:51,16:06,16:28,16:48,17:13,17:28,17:43,17:58,18:28,18:58,19:26,19:51,20:21,|,07:46,08:51,09:46,10:51,11:51,12:51,13:51,14:21,14:51,15:31,16:06,16:26,17:11,17:26,17:56,18:26,18:56,19:31,19:51,20:21,|,07:46,08:31,08:51,09:46,10:21,10:51,11:51,12:51,13:21,13:51,14:51,16:06,16:26,17:11,17:31,17:56,18:26,18:56,19:31,19:51,20:21,10:21,11:36,13:46,14:21,16:21,18:21,20:11,|,07:46,08:31,08:51,09:46,10:21,10:51,11:51,12:51,13:21,13:51,14:51,16:06,16:28,16:48,17:13,17:33,17:43,17:58,18:28,18:58,19:31,19:51,20:21
DUCLAIR Centre,06:50,07:57,08:20,08:30,08:45,09:02,09:32,09:57,11:02,12:04,12:39,13:02,14:02,15:02,15:57,16:17,16:36,16:56,17:16,17:26,17:41,17:56,18:11,18:26,18:40,18:55,19:10,19:24,19:37,20:02,20:32,06:50,07:57,08:42,09:02,09:57,10:32,11:02,12:02,13:02,13:32,14:02,15:02,16:17,16:39,16:59,17:24,17:39,17:54,18:09,18:39,19:09,19:37,20:02,20:32,06:50,07:57,09:02,09:57,11:02,12:02,13:02,14:02,14:32,15:02,15:42,16:17,16:37,17:22,17:37,18:07,18:37,19:07,19:42,20:02,20:32,06:50,07:57,08:42,09:02,09:57,10:32,11:02,12:02,13:02,13:32,14:02,15:02,16:17,16:37,17:22,17:42,18:07,18:37,19:07,19:42,20:02,20:32,10:32,11:47,13:57,14:32,16:32,18:32,20:22,06:50,07:57,08:42,09:02,09:57,10:32,11:02,12:02,13:02,13:32,14:02,15:02,16:17,16:39,16:59,17:24,17:44,17:54,18:09,18:39,19:09,19:42,20:02,20:32
JUMIEGES L'Abbaye,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,08:58,|,|,10:48,|,|,|,13:48,|,|,|,|,|,|,|,|,|,|,|,|,10:48,12:03,14:13,14:48,16:48,18:48,20:38,|,|,08:58,|,|,10:48,|,|,|,13:48,|,|,|,|,|,|,|,|,|,|,|,|,|,|
YAINVILLE Centre,06:58,08:04,08:27,08:37,08:52,09:09,09:39,10:04,11:09,12:11,12:46,13:09,14:09,15:09,16:04,16:24,16:43,17:03,17:23,17:33,17:48,18:03,18:18,18:33,18:47,19:02,19:17,19:33,19:44,20:09,20:39,06:58,08:04,08:49,09:09,10:04,10:39,11:09,12:09,13:09,13:39,14:09,15:09,16:24,16:46,17:06,17:31,17:46,18:01,18:16,18:46,19:16,19:44,20:09,20:39,06:58,08:04,09:09,10:04,11:09,12:09,13:09,14:09,14:39,15:09,15:49,16:24,16:44,17:29,17:44,18:14,18:44,19:14,19:49,20:09,20:39,06:58,08:04,09:00,09:09,10:04,10:50,11:09,12:09,13:09,13:50,14:09,15:09,16:24,16:44,17:29,17:49,18:14,18:44,19:14,19:49,20:09,20:39,10:50,12:05,14:15,14:50,16:50,18:50,20:40,06:58,08:04,09:00,09:09,10:04,10:50,11:09,12:09,13:09,13:50,14:09,15:09,16:24,16:46,17:06,17:31,17:51,18:01,18:16,18:46,19:16,19:49,20:09,20:39
LE TRAIT Mairie,07:06,08:13,08:36,08:46,09:01,09:18,09:48,10:13,11:18,12:20,12:55,13:18,14:18,15:18,16:13,16:33,16:52,17:12,17:32,17:42,17:57,18:12,18:27,18:42,18:56,19:09,19:24,19:40,19:51,20:16,20:46,07:06,08:13,08:58,09:18,10:13,10:48,11:18,12:18,13:18,13:48,14:18,15:18,16:33,16:55,17:15,17:40,17:55,18:10,18:25,18:55,19:23,19:51,20:16,20:46,07:06,08:13,09:18,10:13,11:18,12:18,13:18,14:18,14:48,15:18,15:58,16:33,16:53,17:38,17:53,18:23,18:53,19:21,19:56,20:16,20:46,07:06,08:13,09:09,09:18,10:13,10:59,11:18,12:18,13:18,13:59,14:18,15:18,16:33,16:53,17:38,17:58,18:23,18:53,19:21,19:56,20:16,20:46,10:59,12:14,14:24,14:59,16:59,18:59,20:47,07:06,08:13,09:09,09:18,10:13,10:59,11:18,12:18,13:18,13:59,14:18,15:18,16:33,16:55,17:15,17:40,18:00,18:10,18:25,18:55,19:23,19:56,20:16,20:46
CAUDEBEC-EN-CAUX Quai,07:17,08:24,|,|,|,09:29,|,10:24,11:29,|,|,13:29,14:29,15:29,|,16:44,|,17:23,|,17:53,|,18:23,18:38,|,19:07,|,19:35,|,|,20:27,|,07:17,08:24,|,09:29,10:24,|,11:29,|,13:29,|,14:29,15:29,16:44,|,17:26,17:51,|,18:21,18:36,19:06,19:34,|,20:27,|,07:17,08:24,09:29,10:24,11:29,|,13:29,14:29,|,15:29,|,16:44,|,17:49,|,18:34,|,19:32,|,20:27,|,07:17,08:24,|,09:29,10:24,|,11:29,|,13:29,|,14:29,15:29,16:44,|,17:49,|,18:34,|,19:32,|,20:27,|,11:10,|,|,15:10,|,19:10,|,07:17,08:24,|,09:29,10:24,|,11:29,|,13:29,|,14:29,15:29,16:44,|,17:26,17:51,|,18:21,18:36,19:06,19:34,|,20:27,|
