date,1;2;3;4;5,1;2;3;4;5,6,1;2;3;4;5,1;2;3;4;5;6,1;2;3;4;5,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5;6,1;2;3;4;5,6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,3;6,1;2;3;4;5,3;6,1;2;3;4;5;6,1;2;3;4;5,1;2;3;4;5;6,6,1;2;4;5,1;2;3;4;5,6,1;2;3;4;5,6,1;2;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5;6,1;2;3;4;5,6,1;2;3;4;5,1;2;4;5,1;2;3;4;5,1;2;3;5,7;ferie,7;ferie
periode,ta,ta,ta,ps,ta,ps,ete,ps;vs,ta,ps,ps,ps;vs,ta,ps,ta,ta,ta,ta,ta,ta,ta,ps;vs,ps,ete,ps,ps;vs,ps;vs,ta,ps;vs,ps;vs,ete,ete,ps;vs,ps;vs,ps,ete,ps;vs,ps;vs,ta,ta,ta,ps,ps,ps;vs,ta,ta,ta
CAUDEBEC-EN-CAUX/Rétival (Révima),|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,16:05,|,16:50,17:05,|,|,|,|,|,|,|
CAUDEBEC-EN-CAUX/Quai,|,|,|,|,06:35,06:35,06:35,06:40,|,|,|,|,|,|,07:40,08:30,08:30,|,09:37,10:30,11:45,12:05,12:15,12:35,13:00,|,|,13:37,|,14:35,14:35,14:35,|,|,|,15:35,16:06,|,16:55,17:12,17:25,|,18:20,|,18:45,11:15,19:15
CAUDEBEC-EN-CAUX/Maison de retraite/Piscine,|,|,|,|,06:37,06:37,|,|,|,|,|,|,|,|,07:42,|,|,|,09:38,10:32,11:47,12:07,|,|,|,|,|,13:38,|,|,|,|,|,|,|,15:37,16:07,|,16:57,|,17:27,|,|,|,18:47,11:17,19:17
ST-ARNOULT/Croix Blanche/Houquetot/Centre/Mairie,|,|,|,|,|,|,06:39,06:46,|,|,|,|,|,|,|,08:34,08:34,|,|,|,|,|,12:19,12:39,13:04,|,|,|,|,14:43,14:39,14:39,|,|,|,|,|,|,|,17:18,|,|,18:26,|,|,|,|
ANQUETIERVILLE/Route de l'Église,|,|,|,|,|,|,06:48,06:54,|,|,|,|,|,|,|,08:43,08:43,|,|,|,|,|,12:28,12:48,13:13,|,|,|,|,14:51,14:48,14:48,|,|,|,|,|,|,|,17:27,|,|,18:35,|,|,|,|
AUBERVILLE-LA-CAMPAGNE/Centre,|,|,|,|,|,|,06:52,06:58,|,|,|,|,|,|,|,08:47,08:47,|,|,|,|,|,|,12:52,|,|,|,|,|,14:55,14:52,14:52,|,|,|,|,|,|,|,17:31,|,|,|,|,|,|,|
LA FRENAYE/Mairie,|,|,|,|,|,|,06:56,07:01,|,|,|,|,|,|,|,08:51,08:51,|,|,|,|,|,|,12:56,|,|,|,|,|,14:58,14:56,14:56,|,|,|,|,|,|,|,17:35,|,|,|,|,|,|,|
VILLEQUIER/Centre/HLM/Croix Dussault/Cantepie,|,|,|,|,06:41,06:41,|,|,|,|,|,|,|,|,07:46,|,|,|,09:42,10:36,11:51,12:11,|,|,|,|,|,13:43,|,|,|,|,|,|,|,15:41,16:11,|,17:01,|,17:31,|,|,|,18:51,11:21,19:21
NORVILLE/Auberge/Centre/Le Croquet,|,|,|,|,06:47,06:47,|,|,|,|,|,|,|,|,07:52,|,|,|,09:49,10:42,11:57,12:17,|,|,|,|,|,13:48,|,|,|,|,|,|,|,15:47,16:17,|,17:07,|,17:37,|,|,|,18:57,11:27,19:27
