date,1;2;3;4;5,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5,6,1;2;3;4;5,3,1;2;3;4;5;6,3,3,1;2;3;4;5;6,1;2;3;4;5;6,3,1;2;3;4;5;6,1;2;3;4;5,1;2;4;5,1;2;3;4;5;6,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5;6,1;2;3;4;5;6,6,1;2;4;5,1;2;3;4;5,6,1;2;3;4;5,6,1;2;3;4;5,6,1;2;3;4;5,7;ferie,7;ferie
periode,ta,ta,ps,ps;vs,ete,ps;vs,ta,ete,ps;vs,ta,ta,ta,ta,ps;vs,ps,ps;vs,ps,ps,ta,ta,ps,ta,ps,ps,ta,ta,ps;vs,ta,ps;vs,ta,ps,ps,ta,ps,ta,ete,ps;vs,ps;vs,ta,ta,ta
LE HAVRE/Gare Routière,05:45,06:45,|,07:35,07:30,08:00,08:20,09:30,|,10:00,11:05,12:30,12:30,12:30,12:30,|,12:45,12:45,13:00,13:55,14:20,15:10,16:15,16:15,16:20,17:20,|,17:20,|,17:50,17:50,17:55,18:15,18:20,18:20,18:20,18:50,18:50,19:20,09:25,17:25
HARFLEUR/Saint-Martin,05:57,06:55,|,07:46,07:40,08:10,08:32,09:40,|,10:14,11:15,12:40,12:40,|,|,|,12:55,12:55,13:12,14:08,14:30,15:20,|,|,16:34,17:30,|,|,|,18:08,18:00,|,|,|,18:30,18:30,19:00,19:00,19:30,09:35,17:35
GONFREVILLE-L'ORCHER/Les Clos Molinons,06:04,07:03,|,07:54,07:48,08:18,08:38,09:48,|,10:19,11:23,12:48,12:48,|,|,|,13:03,13:03,13:20,14:15,14:41,15:28,16:33,16:33,16:39,17:38,|,|,|,18:15,18:08,18:16,|,|,18:38,18:38,19:08,19:08,19:38,09:43,17:43
GAINNEVILLE/Jonquilles/Horloge/Queue du Grill,06:07,07:06,|,07:55,07:51,08:21,08:39,09:51,|,10:22,11:26,12:51,12:51,|,|,|,13:06,13:06,13:23,14:17,14:43,15:31,16:36,16:36,16:41,17:41,|,|,|,18:17,18:11,18:17,|,|,18:41,18:41,19:11,19:11,19:41,09:46,17:46
ÉPRETOT/Centre Pénitentier/RN15,06:11,07:11,|,07:59,07:56,08:26,08:42,09:56,|,10:27,11:31,12:56,12:56,|,|,|,13:11,13:11,13:28,14:23,14:46,15:36,16:41,16:41,16:46,17:46,|,|,|,18:22,18:16,|,|,|,18:46,18:46,19:16,19:16,19:46,09:51,17:51
ST-AUBIN-ROUTOT/La Botte/Centre,06:14,07:14,|,08:01,07:59,08:29,08:44,09:59,|,10:31,11:34,12:59,12:59,|,|,|,13:14,13:14,13:31,14:27,14:49,15:39,16:44,16:44,16:48,17:49,|,|,|,18:24,18:19,|,|,|,18:49,18:49,19:19,19:19,19:49,09:54,17:54
ST-ROMAIN-DE-COLBOSC/Parc Éco-Normandie,|,07:20,|,|,|,|,08:50,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,17:55,|,|,|,18:30,|,|,|,|,|,|,|,|,|,|,|
ST-ROMAIN-DE-COLBOSC/École,06:18,07:25,|,08:05,08:03,08:33,08:55,10:03,|,10:35,11:38,13:03,13:03,|,|,|,13:18,13:18,13:35,14:30,14:53,15:43,16:48,16:48,16:51,18:00,|,|,|,18:35,18:23,18:30,|,18:40,18:53,18:53,19:23,19:23,19:53,09:58,17:58
LA CERLANGUE/Église,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,13:25,|,|,|,|,|,|,|,|,|,|,|,|,|,|,18:36,|,|,|,|,|,|,|,|,|
LA REMUÉE/École Henri Dès,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,13:33,|,|,|,|,|,|,|,|,|,|,|,|,|,|,18:44,|,|,|,|,|,|,|,|,|
LES TROIS-PIERRES/Bois Rosé/La Mare au Leu,06:21,07:28,|,08:09,08:06,08:36,09:00,10:06,|,10:39,11:41,13:06,13:06,|,|,|,|,13:21,13:38,14:32,14:56,15:46,16:51,16:51,16:55,18:03,|,|,|,18:39,18:26,|,|,|,18:56,18:56,19:26,19:26,19:56,10:01,18:01
ST-EUSTACHE-LA-FORÊT/Les Fonds de Misère,06:24,07:31,|,08:16,08:09,08:39,09:02,10:09,|,10:43,11:44,13:09,13:09,|,|,|,13:39,13:24,13:41,14:35,14:58,15:49,|,16:54,16:59,18:06,|,|,|,18:42,18:29,|,|,|,18:59,18:59,19:29,19:29,19:59,10:04,18:04
ST-EUSTACHE-LA-FORÊT/Patte d'Oie,|,|,|,08:18,|,|,|,|,|,|,|,|,|,|,|,|,13:40,13:25,13:42,14:36,14:59,15:50,|,16:55,17:01,18:07,|,|,|,18:45,18:30,|,|,|,19:00,19:00,19:30,19:30,20:00,10:05,18:05
ST-EUSTACHE-LA-FORÊT/Centre,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,16:56,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
BOLBEC/LEP Coubertin/Le Viaduc,06:27,07:34,|,08:20,08:12,08:42,09:05,10:12,|,10:46,11:47,13:12,13:12,|,|,|,13:41,13:27,13:45,14:38,15:02,15:52,16:57,|,|,18:09,|,|,|,18:46,18:32,|,|,|,19:02,19:02,19:32,19:32,20:02,10:07,18:07
BOLBEC/Place Félix Faure,06:32,07:39,|,08:24,08:17,08:47,09:11,10:17,09:41,10:51,11:52,13:17,13:17,|,|,12:40,13:46,13:32,13:50,14:45,15:09,15:57,17:02,|,17:07,18:14,|,18:00,17:35,18:50,18:37,|,|,|,19:07,19:07,19:37,19:37,20:07,10:12,18:12
BOLBEC/Collège Roncherolles - Lycée Curie,|,07:42,|,08:29,|,08:50,|,|,|,|,|,13:20,13:20,|,|,|,13:49,|,|,|,|,16:00,|,17:05,17:12,|,|,|,|,18:55,|,|,|,|,|,|,|,|,|,|,|
