date,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6
periode,ta,ta,ta
CAUDEBEC-EN-CAUX / Quai,06:15,11:45,16:30
CAUDEBEC-EN-CAUX / Rétival,06:18,11:48,16:33
SAINT-WANDRILLE / Le Port,06:20,11:50,16:35
SAINT-WANDRILLE / Hameau de Gauville,06:22,11:52,16:37
LE TRAIT / La Neuville,06:24,11:54,16:39
LE TRAIT / Passage à Niveau,06:24,11:54,16:39
LE TRAIT / Mairie du Trait,06:25,11:55,16:40
LE TRAIT / Le Clos Fleuri,06:26,11:56,16:41
LE TRAIT / Conservatoire Val de Seine,06:26,11:56,16:41
LE TRAIT / Église du Trait,06:27,11:57,16:42
LE TRAIT / La Bucaille,06:28,11:58,16:43
YAINVILLE / Zone Industrielle,06:29,11:59,16:44
YAINVILLE / Yainville Centre,06:31,12:01,16:46
YAINVILLE / Terrain de Pétanque,06:32,12:02,16:47
DUCLAIR / Saint-Paul,06:35,12:05,16:50
DUCLAIR / Centre,06:39,12:09,16:54
DUCLAIR / Bac de Duclair,06:40,12:10,16:55
DUCLAIR / L'Anerie,06:41,12:11,16:56
HENOUVILLE-BAS / Bois de la Fontaine,06:43,12:13,16:58
HENOUVILLE-BAS / Les Sablons,06:46,12:16,17:01
HENOUVILLE-BAS / Chaussée Saint-Jean,06:47,12:17,17:02
HENOUVILLE-BAS / Le Mesnil,06:48,12:18,17:03
SAINT-MARTIN-DE-BOSCHERVILLE / Terre du Mesnil,06:49,12:19,17:04
SAINT-MARTIN-DE-BOSCHERVILLE / St-Martin-de-B. Centre,06:50,12:20,17:05
SAINT-MARTIN-DE-BOSCHERVILLE / Le Genetey,06:52,12:22,17:07
CANTELEU / Carrefour du Hasard,06:55,12:25,17:10
CANTELEU / Lycée Hôtelier - IDS,06:56,12:26,17:11
CANTELEU / Cimetière du Village,06:57,12:27,17:12
CANTELEU / École du Village,06:58,12:28,17:13
ROUEN / M.I.N,07:02,12:32,17:17
ROUEN / Mont Riboudet - Kindarena,07:05,12:35,17:20
ROUEN Gare Routière,07:16,12:46,17:31
