date,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6
periode,ta,ta,ta
ROUEN / Gare Routière,07:40,13:05,17:45
ROUEN / Mont Riboudet - Kindarena,07:48,13:13,17:53
ROUEN / M.I.N,07:50,13:15,17:55
CANTELEU / École du Village,07:53,13:18,17:58
CANTELEU / Cimetière du Village,07:54,13:19,17:59
CANTELEU / Lycée Hôtelier - IDS,07:55,13:20,18:00
CANTELEU / Carrefour du Hasard,07:56,13:21,18:01
SAINT-MARTIN-DE-BOSCHERVILLE / Le Genetey,07:59,13:24,18:04
SAINT-MARTIN-DE-BOSCHERVILLE / St-Martin-de-B. Centre,08:01,13:26,18:06
SAINT-MARTIN-DE-BOSCHERVILLE / Terre du Mesnil,08:02,13:27,18:07
HENOUVILLE-BAS / Le Mesnil,08:02,13:27,18:07
HENOUVILLE-BAS / Chaussée Saint-Jean,08:03,13:28,18:08
HENOUVILLE-BAS / Les Sablons,08:04,13:29,18:09
HENOUVILLE-BAS / Bois de la Fontaine,08:06,13:31,18:11
DUCLAIR / L'Anerie,08:08,13:33,18:13
DUCLAIR / Bac de Duclair,08:09,13:34,18:14
DUCLAIR / Centre,08:12,13:37,18:17
DUCLAIR / Saint-Paul,08:15,13:40,18:20
YAINVILLE / Terrain de Pétanque,08:17,13:42,18:22
YAINVILLE / Yainville Centre,08:19,13:44,18:24
YAINVILLE / Zone Industrielle,08:21,13:46,18:26
LE TRAIT / La Bucaille,08:23,13:48,18:28
LE TRAIT / Église du Trait,08:25,13:50,18:30
LE TRAIT / Conservatoire Val de Seine,08:25,13:50,18:30
LE TRAIT / Le Clos Fleuri,08:26,13:51,18:31
LE TRAIT / Mairie du Trait,08:28,13:53,18:33
LE TRAIT / Passage à Niveau,08:29,13:54,18:34
LE TRAIT / La Neuville,08:30,13:55,18:35
SAINT-WANDRILLE / Hameau de Gauville,08:32,13:57,18:37
SAINT-WANDRILLE / Le Port,08:34,13:59,18:39
CAUDEBEC-EN-CAUX / Rétival,08:36,14:01,18:41
CAUDEBEC-EN-CAUX / Quai,08:39,14:04,18:44
